dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
imdb,tmdb,D5,qwen2.5-tf-p2,1233.47,75.66,49.79,60.06,1.00,join_examples_dict_1,1245,7.39
imdb,tmdb,D5,llama3.1-ft-p2,1360.53,48.91,66.17,56.24,0.98,join_examples_dict_1,2560,38.59
imdb,tmdb,D5,llama3.1-tf-p2,1348.53,40.69,87.63,55.57,1.00,join_examples_dict_1,4075,51.51
imdb,tmdb,D5,orca2-ft-p2,817.18,69.44,24.26,35.96,1.00,join_examples_dict_1,661,11.65
imdb,tmdb,D5,orca2-tf-p2,821.29,67.02,30.07,41.52,0.99,join_examples_dict_1,849,15.19
imdb,tmdb,D5,openhermes-ft-p2,836.29,74.68,45.67,56.67,1.00,join_examples_dict_1,1157,7.69
imdb,tmdb,D5,openhermes-tf-p2,829.62,77.79,46.46,58.17,1.00,join_examples_dict_1,1130,4.87
imdb,tmdb,D5,zephyr-ft-p2,1360.86,79.21,38.05,51.41,0.63,join_examples_dict_1,909,3.74
imdb,tmdb,D5,zephyr-tf-p2,1263.14,74.63,45.24,56.33,0.77,join_examples_dict_1,1147,8.54
imdb,tmdb,D5,gemma3n-ft-p2,2455.45,76.06,79.60,77.79,1.00,join_examples_dict_2,1980,10.66
imdb,tmdb,D5,gemma3n-tf-p2,2427.32,68.91,66.44,67.65,1.00,join_examples_dict_2,1824,14.64
imdb,tmdb,D5,qwen2.5-ft-p2,1237.28,77.03,50.53,61.03,1.00,join_examples_dict_2,1241,5.72
imdb,tmdb,D5,qwen2.5-tf-p2,1239.85,75.90,53.28,62.61,1.00,join_examples_dict_2,1328,7.30
imdb,tmdb,D5,llama3.1-ft-p2,1353.33,53.93,77.96,63.76,1.00,join_examples_dict_2,2735,36.27
imdb,tmdb,D5,llama3.1-tf-p2,1347.29,45.32,92.34,60.80,1.00,join_examples_dict_2,3855,48.12
imdb,tmdb,D5,orca2-ft-p2,824.01,69.55,18.71,29.49,0.99,join_examples_dict_2,509,7.07
imdb,tmdb,D5,orca2-tf-p2,820.73,65.62,29.86,41.05,1.00,join_examples_dict_2,861,17.19
imdb,tmdb,D5,openhermes-ft-p2,835.55,77.80,51.32,61.85,1.00,join_examples_dict_2,1248,3.85
imdb,tmdb,D5,openhermes-tf-p2,834.33,74.62,51.43,60.89,1.00,join_examples_dict_2,1304,6.37
imdb,tmdb,D5,zephyr-ft-p2,1438.91,75.93,48.52,59.21,0.49,join_examples_dict_2,1209,5.38
imdb,tmdb,D5,zephyr-tf-p2,1161.40,73.37,48.78,58.60,0.70,join_examples_dict_2,1258,9.78
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,5101.69,60.57,98.10,74.90,1.00,vector_based_examples_dict_1,3064,32.60
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,5101.69,66.35,94.93,78.10,1.00,vector_based_examples_dict_1,2707,25.27
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,4933.92,65.09,86.42,74.25,1.00,vector_based_examples_dict_2,2512,24.36
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4933.92,72.36,81.77,76.77,1.00,vector_based_examples_dict_2,2138,15.01
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,4863.43,73.83,80.81,77.16,1.00,join_examples_dict_1,2071,12.07
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4863.43,77.70,64.27,70.35,1.00,join_examples_dict_1,1565,6.96
imdb,tmdb,D5,gemma3n-ft-p2 U gemma3n-tf-p2,4882.77,69.44,79.76,74.24,1.00,join_examples_dict_2,2173,15.97
imdb,tmdb,D5,gemma3n-ft-p2 ∩ gemma3n-tf-p2,4882.77,76.89,66.28,71.19,1.00,join_examples_dict_2,1631,8.03
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,2500.42,77.27,73.68,75.43,1.00,vector_based_examples_dict_1,1804,9.31
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,2500.42,78.85,64.64,71.04,1.00,vector_based_examples_dict_1,1551,6.51
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,2483.31,76.19,56.50,64.89,1.00,vector_based_examples_dict_2,1403,7.91
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,2483.31,77.24,50.58,61.13,1.00,vector_based_examples_dict_2,1239,5.97
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,2463.58,75.54,51.43,61.19,1.00,join_examples_dict_1,1288,7.38
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,2463.58,77.48,49.10,60.11,1.00,join_examples_dict_1,1199,5.09
imdb,tmdb,D5,qwen2.5-ft-p2 U qwen2.5-tf-p2,2477.13,75.58,53.33,62.53,1.00,join_examples_dict_2,1335,7.64
imdb,tmdb,D5,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,2477.13,77.39,50.48,61.10,1.00,join_examples_dict_2,1234,5.35
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2737.23,34.69,99.84,51.49,0.99,vector_based_examples_dict_1,5445,62.81
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2737.23,43.77,93.87,59.70,0.99,vector_based_examples_dict_1,4058,49.46
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2715.91,40.03,99.58,57.11,1.00,vector_based_examples_dict_2,4706,55.93
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2715.91,55.26,77.48,64.51,1.00,vector_based_examples_dict_2,2653,34.26
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2709.06,39.33,94.34,55.52,0.99,join_examples_dict_1,4538,55.27
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2709.06,53.65,59.46,56.41,0.99,join_examples_dict_1,2097,30.95
imdb,tmdb,D5,llama3.1-ft-p2 U llama3.1-tf-p2,2700.62,43.65,96.51,60.12,1.00,join_examples_dict_2,4183,51.28
imdb,tmdb,D5,llama3.1-ft-p2 ∩ llama3.1-tf-p2,2700.62,58.00,73.78,64.95,1.00,join_examples_dict_2,2407,31.57
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1662.48,62.31,59.94,61.10,1.00,vector_based_examples_dict_1,1820,26.43
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1662.48,67.38,28.49,40.04,1.00,vector_based_examples_dict_1,800,16.75
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1653.55,69.48,49.21,57.61,1.00,vector_based_examples_dict_2,1340,13.73
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1653.55,71.97,17.92,28.69,1.00,vector_based_examples_dict_2,471,8.28
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1638.47,66.10,38.85,48.93,0.99,join_examples_dict_1,1112,17.00
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1638.47,73.62,15.49,25.59,0.99,join_examples_dict_1,398,8.54
imdb,tmdb,D5,orca2-ft-p2 U orca2-tf-p2,1644.74,66.05,35.99,46.60,0.99,join_examples_dict_2,1031,16.88
imdb,tmdb,D5,orca2-ft-p2 ∩ orca2-tf-p2,1644.74,70.21,12.58,21.34,0.99,join_examples_dict_2,339,6.19
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1690.37,54.10,88.48,67.15,1.00,vector_based_examples_dict_1,3094,37.36
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1690.37,70.57,63.74,66.98,1.00,vector_based_examples_dict_1,1709,14.57
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1681.93,71.38,56.55,63.11,1.00,vector_based_examples_dict_2,1499,12.01
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1681.93,79.77,43.34,56.16,1.00,vector_based_examples_dict_2,1028,2.33
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1665.91,73.99,54.12,62.52,1.00,join_examples_dict_1,1384,10.19
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1665.91,79.62,38.00,51.45,1.00,join_examples_dict_1,903,2.21
imdb,tmdb,D5,openhermes-ft-p2 U openhermes-tf-p2,1669.88,73.26,55.18,62.95,1.00,join_examples_dict_2,1425,7.93
imdb,tmdb,D5,openhermes-ft-p2 ∩ openhermes-tf-p2,1669.88,79.86,47.57,59.62,1.00,join_examples_dict_2,1127,2.22
imdb,tmdb,D5,zephyr-ft-p2 U zephyr-tf-p2,2744.32,70.08,59.67,64.46,0.45,vector_based_examples_dict_1,1611,12.60
imdb,tmdb,D5,zephyr-ft-p2 ∩ zephyr-tf-p2,2744.32,78.24,48.84,60.14,0.45,vector_based_examples_dict_1,1181,4.06
imdb,tmdb,D5,zephyr-ft-p2 U zephyr-tf-p2,2338.11,71.80,50.05,58.98,0.76,vector_based_examples_dict_2,1319,10.39
imdb,tmdb,D5,zephyr-ft-p2 ∩ zephyr-tf-p2,2338.11,80.60,39.75,53.24,0.76,vector_based_examples_dict_2,933,2.79
imdb,tmdb,D5,zephyr-ft-p2 U zephyr-tf-p2,2624.00,74.26,46.35,57.08,0.70,join_examples_dict_1,1181,8.47
imdb,tmdb,D5,zephyr-ft-p2 ∩ zephyr-tf-p2,2624.00,79.89,36.95,50.52,0.70,join_examples_dict_1,875,3.66
imdb,tmdb,D5,zephyr-ft-p2 U zephyr-tf-p2,2600.31,71.71,49.58,58.63,0.59,join_examples_dict_2,1308,10.63
imdb,tmdb,D5,zephyr-ft-p2 ∩ zephyr-tf-p2,2600.31,77.91,47.73,59.19,0.59,join_examples_dict_2,1159,4.40
