dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
imdb,tvdb,D6,orca2-tf-p2,344.16,33.76,85.13,48.34,1.00,join_examples_dict_2,2290,55.11
imdb,tvdb,D6,openhermes-ft-p2,353.33,44.39,59.69,50.92,1.00,join_examples_dict_2,1221,41.11
imdb,tvdb,D6,openhermes-tf-p2,352.78,47.91,63.00,54.42,1.00,join_examples_dict_2,1194,76.58
imdb,tvdb,D6,zephyr-ft-p2,686.93,46.18,25.99,33.26,0.73,join_examples_dict_2,202,76.58
imdb,tvdb,D6,zephyr-tf-p2,494.33,46.70,37.44,41.56,0.86,join_examples_dict_2,531,76.58
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2446.90,0.40,100.00,0.79,1.00,vector_based_examples_dict_1,1771,1.46
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2446.90,0.32,71.43,0.65,1.00,vector_based_examples_dict_1,1543,0.00
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2427.89,0.36,85.71,0.71,1.00,vector_based_examples_dict_2,1676,0.33
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2427.89,0.39,85.71,0.78,1.00,vector_based_examples_dict_2,1522,0.00
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2404.02,0.36,100.00,0.72,1.00,join_examples_dict_1,1928,2.33
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2404.02,0.30,71.43,0.60,1.00,join_examples_dict_1,1667,0.00
imdb,tvdb,D6,gemma3n-ft-p2 U gemma3n-tf-p2,2406.92,0.39,100.00,0.78,1.00,join_examples_dict_2,1780,0.80
imdb,tvdb,D6,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2406.92,0.35,85.71,0.70,1.00,join_examples_dict_2,1698,0.00
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,960.54,0.43,85.71,0.85,1.00,vector_based_examples_dict_1,1399,0.78
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,960.54,0.44,71.43,0.88,1.00,vector_based_examples_dict_1,1135,0.00
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,952.01,0.51,85.71,1.01,1.00,vector_based_examples_dict_2,1183,0.67
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,952.01,0.50,71.43,0.99,1.00,vector_based_examples_dict_2,1006,0.00
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,944.36,0.48,100.00,0.95,1.00,join_examples_dict_1,1461,1.45
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,944.36,0.38,71.43,0.76,1.00,join_examples_dict_1,1310,0.00
imdb,tvdb,D6,qwen2.5-ft-p2 U qwen2.5-tf-p2,944.85,0.41,85.71,0.81,1.00,join_examples_dict_2,1471,0.91
imdb,tvdb,D6,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,944.85,0.45,85.71,0.89,1.00,join_examples_dict_2,1344,0.00
imdb,tvdb,D6,llama3.1-ft-p2 U llama3.1-tf-p2,987.96,0.19,100.00,0.37,0.99,vector_based_examples_dict_1,3744,15.92
imdb,tvdb,D6,llama3.1-ft-p2 ∩ llama3.1-tf-p2,987.96,0.37,85.71,0.73,0.99,vector_based_examples_dict_1,1631,0.00
imdb,tvdb,D6,llama3.1-ft-p2 U llama3.1-tf-p2,979.87,0.13,57.14,0.26,1.00,vector_based_examples_dict_2,3050,12.30
imdb,tvdb,D6,llama3.1-ft-p2 ∩ llama3.1-tf-p2,979.87,0.00,0.00,0.00,1.00,vector_based_examples_dict_2,1400,0.00
imdb,tvdb,D6,llama3.1-ft-p2 U llama3.1-tf-p2,973.67,0.19,100.00,0.37,1.00,join_examples_dict_1,3738,10.98
imdb,tvdb,D6,llama3.1-ft-p2 ∩ llama3.1-tf-p2,973.67,0.24,57.14,0.47,1.00,join_examples_dict_1,1684,0.00
imdb,tvdb,D6,llama3.1-ft-p2 U llama3.1-tf-p2,972.86,0.19,100.00,0.37,1.00,join_examples_dict_2,3765,11.17
imdb,tvdb,D6,llama3.1-ft-p2 ∩ llama3.1-tf-p2,972.86,0.26,71.43,0.51,1.00,join_examples_dict_2,1939,0.00
imdb,tvdb,D6,orca2-ft-p2 U orca2-tf-p2,708.01,0.21,71.43,0.41,1.00,vector_based_examples_dict_1,2438,7.72
imdb,tvdb,D6,orca2-ft-p2 ∩ orca2-tf-p2,708.01,0.31,42.86,0.61,1.00,vector_based_examples_dict_1,971,0.00
imdb,tvdb,D6,orca2-ft-p2 U orca2-tf-p2,702.90,0.20,57.14,0.39,1.00,vector_based_examples_dict_2,2023,6.62
imdb,tvdb,D6,orca2-ft-p2 ∩ orca2-tf-p2,702.90,0.28,28.57,0.55,1.00,vector_based_examples_dict_2,721,0.00
imdb,tvdb,D6,orca2-ft-p2 U orca2-tf-p2,690.40,0.30,85.71,0.60,1.00,join_examples_dict_1,2008,9.41
imdb,tvdb,D6,orca2-ft-p2 ∩ orca2-tf-p2,690.40,0.20,28.57,0.40,1.00,join_examples_dict_1,997,0.00
imdb,tvdb,D6,orca2-ft-p2 U orca2-tf-p2,689.74,0.23,85.71,0.45,1.00,join_examples_dict_2,2638,6.01
imdb,tvdb,D6,orca2-ft-p2 ∩ orca2-tf-p2,689.74,0.24,57.14,0.47,1.00,join_examples_dict_2,1682,0.00
imdb,tvdb,D6,openhermes-ft-p2 U openhermes-tf-p2,720.72,0.32,100.00,0.65,1.00,vector_based_examples_dict_1,2160,6.76
imdb,tvdb,D6,openhermes-ft-p2 ∩ openhermes-tf-p2,720.72,0.50,85.71,1.00,1.00,vector_based_examples_dict_1,1194,0.00
imdb,tvdb,D6,openhermes-ft-p2 U openhermes-tf-p2,718.33,0.37,85.71,0.73,1.00,vector_based_examples_dict_2,1632,4.98
imdb,tvdb,D6,openhermes-ft-p2 ∩ openhermes-tf-p2,718.33,0.23,28.57,0.46,1.00,vector_based_examples_dict_2,856,0.00
imdb,tvdb,D6,openhermes-ft-p2 U openhermes-tf-p2,706.17,0.32,71.43,0.64,1.00,join_examples_dict_1,1551,1.88
imdb,tvdb,D6,openhermes-ft-p2 ∩ openhermes-tf-p2,706.17,0.40,57.14,0.79,1.00,join_examples_dict_1,1006,0.00
imdb,tvdb,D6,openhermes-ft-p2 U openhermes-tf-p2,706.11,0.48,100.00,0.95,1.00,join_examples_dict_2,1466,3.99
imdb,tvdb,D6,openhermes-ft-p2 ∩ openhermes-tf-p2,706.11,0.53,71.43,1.05,1.00,join_examples_dict_2,949,0.00
imdb,tvdb,D6,zephyr-ft-p2 U zephyr-tf-p2,4291.18,0.30,28.57,0.60,0.69,vector_based_examples_dict_1,664,9.44
imdb,tvdb,D6,zephyr-ft-p2 ∩ zephyr-tf-p2,4291.18,0.00,0.00,0.00,0.69,vector_based_examples_dict_1,170,0.00
imdb,tvdb,D6,zephyr-ft-p2 U zephyr-tf-p2,1599.09,0.41,71.43,0.81,0.60,vector_based_examples_dict_2,1227,0.49
imdb,tvdb,D6,zephyr-ft-p2 ∩ zephyr-tf-p2,1599.09,0.40,28.57,0.78,0.60,vector_based_examples_dict_2,505,0.00
imdb,tvdb,D6,zephyr-ft-p2 U zephyr-tf-p2,2525.20,0.15,14.29,0.29,0.79,join_examples_dict_1,675,5.64
imdb,tvdb,D6,zephyr-ft-p2 ∩ zephyr-tf-p2,2525.20,0.00,0.00,0.00,0.79,join_examples_dict_1,289,0.00
imdb,tvdb,D6,zephyr-ft-p2 U zephyr-tf-p2,1181.25,0.25,28.57,0.50,0.80,join_examples_dict_2,789,15.77
imdb,tvdb,D6,zephyr-ft-p2 ∩ zephyr-tf-p2,1181.25,0.22,14.29,0.44,0.80,join_examples_dict_2,450,0.00
