dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,conflicts
walmart,amazon,D8,orca2-ft-p2,455.59,39.65,30.52,34.49,1.00,vector_based_examples_dict_2,574,98.53
walmart,amazon,D8,orca2-tf-p2,452.42,22.93,44.18,30.19,1.00,vector_based_examples_dict_2,1438,98.53
walmart,amazon,D8,openhermes-ft-p2,461.27,34.99,83.67,49.35,1.00,vector_based_examples_dict_2,1786,60.36
walmart,amazon,D8,openhermes-tf-p2,459.28,35.82,86.75,50.70,1.00,vector_based_examples_dict_2,1809,61.36
walmart,amazon,D8,zephyr-ft-p2,725.30,46.64,65.86,54.61,0.40,vector_based_examples_dict_2,102,98.53
walmart,amazon,D8,zephyr-tf-p2,682.87,40.44,74.16,52.34,0.58,vector_based_examples_dict_2,413,98.53
walmart,amazon,D8,gemma3n-ft-p2,1453.55,31.10,98.80,47.31,1.00,join_examples_dict_1,2373,72.40
walmart,amazon,D8,gemma3n-tf-p2,1451.25,31.18,98.80,47.40,1.00,join_examples_dict_1,2367,72.45
walmart,amazon,D8,qwen2.5-ft-p2,597.46,54.53,75.77,63.42,1.00,join_examples_dict_1,1038,39.31
walmart,amazon,D8,qwen2.5-tf-p2,597.36,51.51,84.47,64.00,1.00,join_examples_dict_1,1225,43.02
walmart,amazon,D8,llama3.1-ft-p2,608.72,26.12,82.06,39.63,1.00,join_examples_dict_1,2346,98.53
walmart,amazon,D8,llama3.1-tf-p2,606.62,21.88,93.71,35.48,1.00,join_examples_dict_1,3199,81.56
walmart,amazon,D8,orca2-ft-p2,455.65,44.74,29.05,35.23,1.00,join_examples_dict_1,485,29.48
walmart,amazon,D8,orca2-tf-p2,455.81,31.59,45.38,37.25,1.00,join_examples_dict_1,1058,98.53
walmart,amazon,D8,openhermes-ft-p2,463.35,40.27,70.68,51.31,1.00,join_examples_dict_1,1311,50.11
walmart,amazon,D8,openhermes-tf-p2,461.25,40.51,68.01,50.77,1.00,join_examples_dict_1,1254,50.32
walmart,amazon,D8,zephyr-ft-p2,639.46,52.35,47.79,49.97,0.68,join_examples_dict_1,87,98.53
walmart,amazon,D8,zephyr-tf-p2,578.09,43.37,51.67,47.16,0.73,join_examples_dict_1,349,98.53
walmart,amazon,D8,gemma3n-ft-p2,1458.10,28.55,99.33,44.35,1.00,join_examples_dict_2,2599,76.53
walmart,amazon,D8,gemma3n-tf-p2,1453.24,29.89,98.26,45.83,1.00,join_examples_dict_2,2456,74.27
walmart,amazon,D8,qwen2.5-ft-p2,599.40,54.40,82.73,65.64,1.00,join_examples_dict_2,1136,38.91
walmart,amazon,D8,qwen2.5-tf-p2,603.24,55.06,84.47,66.67,1.00,join_examples_dict_2,1146,39.79
walmart,amazon,D8,llama3.1-ft-p2,613.49,27.10,88.49,41.49,1.00,join_examples_dict_2,2439,70.48
walmart,amazon,D8,llama3.1-tf-p2,609.70,20.37,98.53,33.76,1.00,join_examples_dict_2,3613,85.03
walmart,amazon,D8,orca2-ft-p2,459.13,39.63,28.92,33.44,1.00,join_examples_dict_2,544,98.53
walmart,amazon,D8,orca2-tf-p2,457.50,33.79,33.20,33.49,1.00,join_examples_dict_2,733,98.53
walmart,amazon,D8,openhermes-ft-p2,463.35,40.88,65.73,50.41,1.00,join_examples_dict_2,1201,46.13
walmart,amazon,D8,openhermes-tf-p2,460.46,37.84,71.62,49.51,1.00,join_examples_dict_2,1414,54.38
walmart,amazon,D8,zephyr-ft-p2,694.55,48.76,55.42,51.88,0.49,join_examples_dict_2,171,98.53
walmart,amazon,D8,zephyr-tf-p2,576.62,44.72,65.19,53.05,0.81,join_examples_dict_2,678,98.53
walmart,amazon,D8,gemma3n-ft-p2 U gemma3n-tf-p2,2886.27,28.92,99.33,44.79,1.00,vector_based_examples_dict_1,2566,12.23
walmart,amazon,D8,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2886.27,33.26,97.59,49.61,1.00,vector_based_examples_dict_1,2192,0.00
walmart,amazon,D8,gemma3n-ft-p2 U gemma3n-tf-p2,2907.50,26.17,99.73,41.46,1.00,vector_based_examples_dict_2,2847,8.54
walmart,amazon,D8,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2907.50,28.38,99.46,44.16,1.00,vector_based_examples_dict_2,2618,0.00
walmart,amazon,D8,gemma3n-ft-p2 U gemma3n-tf-p2,2904.80,30.03,98.93,46.07,1.00,join_examples_dict_1,2461,7.48
walmart,amazon,D8,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2904.80,32.34,98.66,48.71,1.00,join_examples_dict_1,2279,0.00
walmart,amazon,D8,gemma3n-ft-p2 U gemma3n-tf-p2,2911.34,28.12,99.33,43.83,1.00,join_examples_dict_2,2639,9.01
walmart,amazon,D8,gemma3n-ft-p2 ∩ gemma3n-tf-p2,2911.34,30.38,98.26,46.41,1.00,join_examples_dict_2,2416,0.00
walmart,amazon,D8,qwen2.5-ft-p2 U qwen2.5-tf-p2,1194.13,55.42,81.39,65.94,1.00,vector_based_examples_dict_1,1097,4.46
walmart,amazon,D8,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1194.13,57.96,74.56,65.22,1.00,vector_based_examples_dict_1,961,0.00
walmart,amazon,D8,qwen2.5-ft-p2 U qwen2.5-tf-p2,1196.56,52.51,86.88,65.46,1.00,vector_based_examples_dict_2,1236,5.67
walmart,amazon,D8,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1196.56,56.80,81.66,67.00,1.00,vector_based_examples_dict_2,1074,0.00
walmart,amazon,D8,qwen2.5-ft-p2 U qwen2.5-tf-p2,1194.82,51.08,85.27,63.89,1.00,join_examples_dict_1,1247,5.30
walmart,amazon,D8,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1194.82,55.12,74.97,63.53,1.00,join_examples_dict_1,1016,0.00
walmart,amazon,D8,qwen2.5-ft-p2 U qwen2.5-tf-p2,1202.65,53.71,87.28,66.50,1.00,join_examples_dict_2,1214,4.93
walmart,amazon,D8,qwen2.5-ft-p2 ∩ qwen2.5-tf-p2,1202.65,55.90,79.92,65.79,1.00,join_examples_dict_2,1068,0.00
walmart,amazon,D8,llama3.1-ft-p2 U llama3.1-tf-p2,1216.65,22.18,94.91,35.95,1.00,vector_based_examples_dict_1,3197,32.71
walmart,amazon,D8,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1216.65,33.69,71.62,45.82,1.00,vector_based_examples_dict_1,1588,0.00
walmart,amazon,D8,llama3.1-ft-p2 U llama3.1-tf-p2,1219.49,19.94,99.60,33.23,1.00,vector_based_examples_dict_2,3731,31.98
walmart,amazon,D8,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1219.49,28.26,91.03,43.13,1.00,vector_based_examples_dict_2,2406,0.00
walmart,amazon,D8,llama3.1-ft-p2 U llama3.1-tf-p2,1215.33,20.74,96.39,34.14,1.00,join_examples_dict_1,3471,33.79
walmart,amazon,D8,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1215.33,28.58,79.38,42.03,1.00,join_examples_dict_1,2075,0.00
walmart,amazon,D8,llama3.1-ft-p2 U llama3.1-tf-p2,1223.19,19.45,99.20,32.52,1.00,join_examples_dict_2,3810,36.27
walmart,amazon,D8,llama3.1-ft-p2 ∩ llama3.1-tf-p2,1223.19,29.26,87.82,43.89,1.00,join_examples_dict_2,2242,0.00
walmart,amazon,D8,orca2-ft-p2 U orca2-tf-p2,900.49,28.76,58.10,38.48,1.00,vector_based_examples_dict_1,1509,18.41
walmart,amazon,D8,orca2-ft-p2 ∩ orca2-tf-p2,900.49,40.25,35.07,37.48,1.00,vector_based_examples_dict_1,651,0.00
walmart,amazon,D8,orca2-ft-p2 U orca2-tf-p2,908.02,23.81,48.33,31.90,1.00,vector_based_examples_dict_2,1516,21.05
walmart,amazon,D8,orca2-ft-p2 ∩ orca2-tf-p2,908.02,39.56,26.37,31.65,1.00,vector_based_examples_dict_2,498,0.00
walmart,amazon,D8,orca2-ft-p2 U orca2-tf-p2,911.46,31.62,48.59,38.31,1.00,join_examples_dict_1,1148,17.27
walmart,amazon,D8,orca2-ft-p2 ∩ orca2-tf-p2,911.46,47.07,25.84,33.36,1.00,join_examples_dict_1,410,0.00
walmart,amazon,D8,orca2-ft-p2 U orca2-tf-p2,916.63,33.49,38.96,36.01,1.00,join_examples_dict_2,869,19.14
walmart,amazon,D8,orca2-ft-p2 ∩ orca2-tf-p2,916.63,42.20,23.16,29.90,1.00,join_examples_dict_2,410,0.00
walmart,amazon,D8,openhermes-ft-p2 U openhermes-tf-p2,922.33,33.59,75.10,46.42,1.00,vector_based_examples_dict_1,1670,19.45
walmart,amazon,D8,openhermes-ft-p2 ∩ openhermes-tf-p2,922.33,45.03,53.95,49.09,1.00,vector_based_examples_dict_1,895,0.00
walmart,amazon,D8,openhermes-ft-p2 U openhermes-tf-p2,920.55,31.39,92.10,46.82,1.00,vector_based_examples_dict_2,2192,22.56
walmart,amazon,D8,openhermes-ft-p2 ∩ openhermes-tf-p2,920.55,41.70,78.31,54.42,1.00,vector_based_examples_dict_2,1403,0.00
walmart,amazon,D8,openhermes-ft-p2 U openhermes-tf-p2,924.60,36.05,78.18,49.35,1.00,join_examples_dict_1,1620,21.86
walmart,amazon,D8,openhermes-ft-p2 ∩ openhermes-tf-p2,924.60,47.83,60.51,53.43,1.00,join_examples_dict_1,945,0.00
walmart,amazon,D8,openhermes-ft-p2 U openhermes-tf-p2,923.81,35.53,79.52,49.11,1.00,join_examples_dict_2,1672,21.22
walmart,amazon,D8,openhermes-ft-p2 ∩ openhermes-tf-p2,923.81,45.81,57.83,51.12,1.00,join_examples_dict_2,943,0.00
walmart,amazon,D8,zephyr-ft-p2 U zephyr-tf-p2,1187.88,49.46,48.59,49.02,0.80,vector_based_examples_dict_1,734,6.08
walmart,amazon,D8,zephyr-ft-p2 ∩ zephyr-tf-p2,1187.88,54.10,30.92,39.35,0.80,vector_based_examples_dict_1,427,0.00
walmart,amazon,D8,zephyr-ft-p2 U zephyr-tf-p2,1408.17,39.54,76.71,52.19,0.49,vector_based_examples_dict_2,1449,10.68
walmart,amazon,D8,zephyr-ft-p2 ∩ zephyr-tf-p2,1408.17,48.46,63.32,54.90,0.49,vector_based_examples_dict_2,976,0.00
walmart,amazon,D8,zephyr-ft-p2 U zephyr-tf-p2,1217.56,44.09,57.43,49.88,0.71,join_examples_dict_1,973,7.20
walmart,amazon,D8,zephyr-ft-p2 ∩ zephyr-tf-p2,1217.56,52.42,42.03,46.66,0.71,join_examples_dict_1,599,0.00
walmart,amazon,D8,zephyr-ft-p2 U zephyr-tf-p2,1271.17,43.25,69.88,53.43,0.65,join_examples_dict_2,1207,15.09
walmart,amazon,D8,zephyr-ft-p2 ∩ zephyr-tf-p2,1271.17,51.85,50.74,51.29,0.65,join_examples_dict_2,731,0.00
